method,path,name,classification,authentication,csrf,trusted_origin,machine_guard,dependencies,allowlist_reason,compliant
POST,/api/v1/orbits/{orbit_id}/capsules,create_capsule,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
POST,/api/v1/orbits/{orbit_id}/create-plan,create_orbit_plan,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/orbits/{orbit_id}/decisions,list_decisions,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/orbits/{orbit_id}/decisions,add_decision,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
POST,/api/v1/orbits/{orbit_id}/events,add_orbit_event,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
POST,/api/v1/orbits/{orbit_id}/members,add_orbit_member,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/orbits/{orbit_id}/references,list_references,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/orbits/{orbit_id}/references,add_reference,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/orbits/{orbit_id}/sources,list_sources,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/orbits/{orbit_id}/sources,attach_source,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
POST,/api/v1/orbits/{orbit_id}/start-council,start_council,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
POST,/api/v1/orbits/{orbit_id}/summary,summarize_orbit,READ_ONLY_POST,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,Computes an owner-scoped summary; persists nothing.,YES
POST,/api/v1/outcomes,report_step_outcome,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
PATCH,/api/v1/plan-steps/{step_id},patch_step,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/plans,list_plans,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/plans,create_plan,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
POST,/api/v1/plans/{plan_id}/steps,add_step,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/profile/preferences,get_preferences,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
PATCH,/api/v1/profile/preferences,patch_preferences,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/projects,list_projects,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/projects,create_project,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/projects/execution/capabilities,execution_capabilities,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db,,YES
DELETE,/api/v1/projects/files/{file_id},delete_file,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/projects/files/{file_id}/download,download_file,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/projects/files/{file_id}/verify,verify_file,READ_ONLY_POST,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,Reads stored bytes and checksum state; persists nothing.,YES
